tweet_id,timestamp,rating_numerator,rating_denominator,name,stage,retweet_count,favorite_count,jpg_url,img_num,predictions,odds
882627270321602560,2017-07-05 15:48:34+00:00,13,10,Stanley,,5454.0,25964.0,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,1.0,Pembroke,0.542982
882268110199369728,2017-07-04 16:01:23+00:00,13,10,Alfy,,10394.0,41544.0,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,1.0,golden_retriever,0.762211
882045870035918850,2017-07-04 01:18:17+00:00,13,10,Koko,,4373.0,27195.0,https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,1.0,golden_retriever,0.00694063
881906580714921986,2017-07-03 16:04:48+00:00,12,10,Rey,,3053.0,22562.0,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,1.0,Weimaraner,0.291539
881666595344535552,2017-07-03 00:11:11+00:00,13,10,Gary,,9576.0,46976.0,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,1.0,Saluki,0.529012
881633300179243008,2017-07-02 21:58:53+00:00,17,10,None,,7.0,115.0,,,,
881536004380872706,2017-07-02 15:32:16+00:00,14,10,a,pupper,14373.0,45856.0,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,1.0,Samoyed,0.281463
881268444196462592,2017-07-01 21:49:04+00:00,12,10,Elliot,,4751.0,21583.0,https://pbs.twimg.com/media/DDrk-f9WAAI-WQv.jpg,1.0,,0.0
880935762899988482,2017-06-30 23:47:07+00:00,13,10,Louis,,2510.0,15860.0,https://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg,1.0,,0.0
880872448815771648,2017-06-30 19:35:32+00:00,12,10,None,,3440.0,19739.0,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,1.0,Pembroke,0.791416
880465832366813184,2017-06-29 16:39:47+00:00,12,10,Bella,,5576.0,26407.0,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,1.0,golden_retriever,0.913255
880221127280381952,2017-06-29 00:27:25+00:00,12,10,Jesse,,3744.0,25011.0,https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,1.0,Chihuahua,0.238525
880095782870896641,2017-06-28 16:09:20+00:00,11,10,None,,3903.0,25632.0,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,1.0,miniature_pinscher,0.120298
879862464715927552,2017-06-28 00:42:13+00:00,13,10,Romeo,,3128.0,20750.0,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,3.0,basset,0.813507
879674319642796034,2017-06-27 12:14:36+00:00,14,10,None,,10.0,293.0,,,,
879492040517615616,2017-06-27 00:10:17+00:00,12,10,Bailey,,2865.0,21795.0,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,1.0,German_short-haired_pointer,0.479896
879415818425184262,2017-06-26 19:07:24+00:00,13,10,Duddles,,39987.0,98131.0,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,1.0,English_springer,0.383404
879376492567855104,2017-06-26 16:31:08+00:00,12,10,Jack,,2816.0,15608.0,https://pbs.twimg.com/media/DDQsQGFV0AAw6u9.jpg,1.0,Labrador_retriever,0.0334961
879050749262655488,2017-06-25 18:56:45+00:00,11,10,Steven,,4229.0,20919.0,https://pbs.twimg.com/media/DDMD_phXoAQ1qf0.jpg,1.0,,0.0
879008229531029506,2017-06-25 16:07:47+00:00,13,10,Beau,,2408.0,17646.0,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,1.0,vizsla,0.960513
878776093423087618,2017-06-25 00:45:22+00:00,13,10,Snoopy,puppo,3680.0,17978.0,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,2.0,Italian_greyhound,0.734684
878604707211726852,2017-06-24 13:24:20+00:00,13,10,None,,6369.0,27951.0,,,,
878281511006478336,2017-06-23 16:00:04+00:00,13,10,Shadow,,1153.0,7181.0,https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,1.0,basset,0.32042
878057613040115712,2017-06-23 01:10:23+00:00,14,10,Emmy,,6124.0,39091.0,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,1.0,French_bulldog,0.839097
